place,landed,filled
Indore,0.0,59214
Pune,0.0,35658
Bangalore,0.0,28911
Chennai,0.0,39914
Dehradun,0.0,15854
Indore,0.0,131526
Pune,0.0,85302
Bangalore,0.0,4201
Chennai,0.0,8562
Dehradun,0.0,3883
Indore,0.0,17612
Pune,0.0,13019
Bangalore,124126.0,33945
Chennai,241389.0,66862
Dehradun,154679.0,34732
Indore,955484.0,268189
Pune,487135.0,103966
Bangalore,438111.0,36458
Chennai,579900.0,68467
Dehradun,469987.0,24244
Indore,1740670.0,269108
Pune,1713845.0,191850
Bangalore,75941.0,5015
Chennai,124037.0,14251
Dehradun,77849.0,5786
Indore,459743.0,73771
Pune,258246.0,28660
Bangalore,0.0,14920
Chennai,0.0,42873
Dehradun,0.0,16555
Indore,0.0,53893
Pune,0.0,28894
Bangalore,0.0,25966
Chennai,0.0,75150
Dehradun,0.0,22775
Indore,0.0,108845
Pune,0.0,82734
Bangalore,0.0,6270
Chennai,0.0,24777
Dehradun,0.0,6449
Indore,0.0,22148
Pune,0.0,18187
Bangalore,98358.0,32240
Chennai,330014.0,104389
Dehradun,123557.0,31100
Indore,659867.0,186022
Pune,296201.0,72242
Bangalore,231985.0,56942
Chennai,790934.0,133663
Dehradun,448812.0,33838
Indore,1075645.0,279219
Pune,1801353.0,193314
Bangalore,49299.0,6627
Chennai,182368.0,35556
Dehradun,91453.0,7212
Indore,308049.0,61433
Pune,259732.0,33367
Bangalore,0.0,14317
Chennai,0.0,28233
Dehradun,0.0,12227
Indore,0.0,42909
Pune,0.0,28123
Bangalore,0.0,32309
Chennai,0.0,63272
Dehradun,0.0,16179
Indore,0.0,114477
Pune,0.0,81499
Bangalore,0.0,4427
Chennai,0.0,13393
Dehradun,0.0,3478
Indore,0.0,12257
Pune,0.0,11763
Bangalore,133265.0,34777
Chennai,381030.0,101389
Dehradun,160146.0,34377
Indore,777459.0,180901
Pune,410666.0,85281
Bangalore,458974.0,42930
Chennai,1022963.0,97710
Dehradun,551004.0,24152
Indore,1670779.0,220093
Pune,1810704.0,184953
Bangalore,76382.0,5409
Chennai,200201.0,20246
Dehradun,105997.0,5352
Indore,479936.0,59787
Pune,327674.0,29517
Bangalore,0.0,16193
Chennai,0.0,43837
Dehradun,0.0,17080
Indore,0.0,50360
Pune,0.0,26638
Bangalore,0.0,27121
Chennai,0.0,75995
Dehradun,0.0,24317
Indore,0.0,105259
Pune,0.0,76264
Bangalore,0.0,8752
Chennai,0.0,24073
Dehradun,0.0,7079
Indore,0.0,21825
Pune,0.0,16867
Bangalore,108926.0,32388
Chennai,358210.0,108217
Dehradun,124358.0,31528
Indore,631323.0,171549
Pune,264944.0,67906
Bangalore,247451.0,55021
Chennai,769101.0,117287
Dehradun,462535.0,47238
Indore,971373.0,259769
Pune,1388834.0,203694
Bangalore,56025.0,9194
Chennai,186228.0,35153
Dehradun,76255.0,7650
Indore,297473.0,57807
Pune,239697.0,31305
Bangalore,0.0,15004
Chennai,0.0,28320
Dehradun,0.0,13198
Indore,0.0,39663
Pune,0.0,26600
Bangalore,0.0,35351
Chennai,0.0,56310
Dehradun,0.0,19089
Indore,0.0,120666
Pune,0.0,77847
Bangalore,0.0,13142
Chennai,0.0,13168
Dehradun,0.0,4468
Indore,0.0,11937
Pune,0.0,10813
Bangalore,147192.0,33332
Chennai,397525.0,102491
Dehradun,160259.0,35026
Indore,738147.0,164385
Pune,377626.0,83576
Bangalore,510146.0,42900
Chennai,922529.0,90435
Dehradun,559308.0,26552
Indore,2051487.0,222292
Pune,1571301.0,176772
Bangalore,101277.0,17640
Chennai,189680.0,19691
Dehradun,77228.0,7081
Indore,480185.0,54192
Pune,396909.0,27613
Bangalore,0.0,16287
Chennai,0.0,45612
Dehradun,0.0,16668
Indore,0.0,49391
Pune,0.0,29337
Bangalore,0.0,27518
Chennai,0.0,72583
Dehradun,0.0,25042
Indore,0.0,99875
Pune,0.0,76351
Bangalore,0.0,7193
Chennai,0.0,18944
Dehradun,0.0,7123
Indore,0.0,17669
Pune,0.0,12999
Bangalore,126990.0,34859
Chennai,418657.0,114409
Dehradun,146450.0,32928
Indore,694728.0,182990
Pune,351818.0,84424
Bangalore,320697.0,58416
Chennai,979323.0,124864
Dehradun,651791.0,64780
Indore,1263765.0,279738
Pune,2269114.0,287049
Bangalore,51295.0,7467
Chennai,220213.0,29507
Dehradun,86175.0,10269
Indore,296409.0,54585
Pune,246711.0,27701
Bangalore,0.0,15814
Chennai,0.0,33468
Dehradun,0.0,14036
Indore,0.0,37771
Pune,0.0,32070
Bangalore,0.0,32112
Chennai,0.0,53584
Dehradun,0.0,19793
Indore,0.0,102561
Pune,0.0,78539
Bangalore,0.0,8325
Chennai,0.0,12031
Dehradun,0.0,4851
Indore,0.0,10120
Pune,0.0,8465
Bangalore,167773.0,36695
Chennai,473110.0,119657
Dehradun,193815.0,37751
Indore,833054.0,176843
Pune,489665.0,110836
Bangalore,551141.0,44393
Chennai,971954.0,91133
Dehradun,615112.0,29310
Indore,2255879.0,232370
Pune,1915254.0,199156
Bangalore,80072.0,10920
Chennai,174605.0,18821
Dehradun,82349.0,10068
Indore,488566.0,48398
Pune,388239.0,23905
Bangalore,0.0,17050
Chennai,0.0,49879
Dehradun,0.0,18406
Indore,0.0,56815
Pune,0.0,29099
Bangalore,0.0,24772
Chennai,0.0,69565
Dehradun,0.0,23777
Indore,0.0,101301
Pune,0.0,78722
Bangalore,0.0,6013
Chennai,0.0,17098
Dehradun,0.0,6624
Indore,0.0,21671
Pune,0.0,15542
Bangalore,110233.0,34985
Chennai,398819.0,122326
Dehradun,142224.0,36654
Indore,681451.0,197870
Pune,284521.0,75471
Bangalore,244108.0,53736
Chennai,782340.0,110264
Dehradun,481873.0,46736
Indore,1016530.0,280774
Pune,2302626.0,289589
Bangalore,50285.0,6741
Chennai,216145.0,26906
Dehradun,88261.0,7532
Indore,297014.0,57024
Pune,238999.0,26268
Bangalore,0.0,17860
Chennai,0.0,36604
Dehradun,0.0,16266
Indore,0.0,40465
Pune,0.0,31314
Bangalore,0.0,32828
Chennai,0.0,53115
Dehradun,0.0,19314
Indore,0.0,101461
Pune,0.0,80976
Bangalore,0.0,4465
Chennai,0.0,11048
Dehradun,0.0,4930
Indore,0.0,11150
Pune,0.0,10752
Bangalore,156000.0,39357
Chennai,476187.0,128593
Dehradun,195547.0,42783
Indore,843329.0,191812
Pune,422934.0,95352
Bangalore,496243.0,42837
Chennai,883057.0,85321
Dehradun,563050.0,28928
Indore,1948793.0,207795
Pune,1651102.0,191886
Bangalore,74535.0,4530
Chennai,197010.0,20419
Dehradun,75158.0,7658
Indore,486347.0,50094
Pune,414426.0,25254
Bangalore,0.0,15816
Chennai,0.0,48256
Dehradun,0.0,16784
Indore,0.0,53842
Pune,0.0,31120
Bangalore,0.0,21851
Chennai,0.0,60593
Dehradun,0.0,21208
Indore,0.0,93416
Pune,0.0,81932
Bangalore,0.0,5535
Chennai,0.0,14710
Dehradun,0.0,6342
Indore,0.0,18652
Pune,0.0,14927
Bangalore,105150.0,37613
Chennai,386345.0,120536
Dehradun,135141.0,34683
Indore,657398.0,189902
Pune,298632.0,84044
Bangalore,224417.0,60020
Chennai,895729.0,113971
Dehradun,476248.0,43807
Indore,1342591.0,351120
Pune,3542925.0,323761
Bangalore,40782.0,5030
Chennai,166597.0,20008
Dehradun,85375.0,10863
Indore,289504.0,53381
Pune,237021.0,28006
Bangalore,0.0,18420
Chennai,0.0,39097
Dehradun,0.0,15025
Indore,0.0,40950
Pune,0.0,34065
Bangalore,0.0,28863
Chennai,0.0,49393
Dehradun,0.0,16727
Indore,0.0,90646
Pune,0.0,85007
Bangalore,0.0,4850
Chennai,0.0,9950
Dehradun,0.0,4779
Indore,0.0,11524
Pune,0.0,11367
Bangalore,161897.0,42308
Chennai,488709.0,133673
Dehradun,194336.0,43911
Indore,858970.0,206373
Pune,439533.0,105999
Bangalore,425221.0,35130
Chennai,864849.0,82988
Dehradun,550168.0,28841
Indore,1834105.0,206887
Pune,1581278.0,213120
Bangalore,64621.0,4784
Chennai,177018.0,16502
Dehradun,76343.0,8676
Indore,530446.0,49842
Pune,408904.0,26268
Bangalore,0.0,16463
Chennai,0.0,46185
Dehradun,0.0,17047
Indore,0.0,55143
Pune,0.0,30749
Bangalore,0.0,19869
Chennai,0.0,52305
Dehradun,0.0,19529
Indore,0.0,81592
Pune,0.0,78547
Bangalore,0.0,3809
Chennai,0.0,10743
Dehradun,0.0,5022
Indore,0.0,15484
Pune,0.0,12666
Bangalore,116371.0,38883
Chennai,394491.0,122782
Dehradun,145002.0,34720
Indore,695854.0,203030
Pune,305857.0,89241
Bangalore,247364.0,55687
Chennai,956121.0,101784
Dehradun,463314.0,32357
Indore,1216202.0,201071
Pune,4047531.0,300444
Bangalore,36127.0,3846
Chennai,142708.0,15392
Dehradun,81983.0,11344
Indore,264407.0,40493
Pune,209696.0,25173
Bangalore,0.0,19063
Chennai,0.0,36428
Dehradun,0.0,14084
Indore,0.0,39464
Pune,0.0,33631
Bangalore,0.0,23645
Chennai,0.0,40343
Dehradun,0.0,13542
Indore,0.0,76535
Pune,0.0,84203
Bangalore,0.0,3308
Chennai,0.0,6794
Dehradun,0.0,3413
Indore,0.0,9186
Pune,0.0,9392
Bangalore,175931.0,45397
Chennai,489276.0,131835
Dehradun,193950.0,40271
Indore,932827.0,224233
Pune,439425.0,102399
Bangalore,360197.0,29664
Chennai,709490.0,74994
Dehradun,453161.0,24409
Indore,1617808.0,214161
Pune,2032127.0,205769
Bangalore,64236.0,4090
Chennai,157630.0,11703
Dehradun,66143.0,6948
Indore,516316.0,43143
Pune,382177.0,23113
Bangalore,0.0,14723
Chennai,0.0,39874
Dehradun,0.0,14417
Indore,0.0,51325
Pune,0.0,29010
Bangalore,0.0,19448
Chennai,0.0,45904
Dehradun,0.0,17094
Indore,0.0,79764
Pune,0.0,68869
Bangalore,0.0,3346
Chennai,0.0,9275
Dehradun,0.0,4235
Indore,0.0,14279
Pune,0.0,11821
Bangalore,115816.0,38898
Chennai,348662.0,105900
Dehradun,125852.0,30490
Indore,668483.0,208685
Pune,287862.0,80951
Bangalore,336994.0,59601
Chennai,1103640.0,97452
Dehradun,492983.0,22103
Indore,1583816.0,311586
Pune,3523809.0,254937
Bangalore,33406.0,3245
Chennai,128845.0,13233
Dehradun,64688.0,6620
Indore,232768.0,38902
Pune,204746.0,20649
Bangalore,0.0,18445
Chennai,0.0,33089
Dehradun,0.0,12394
Indore,0.0,37718
Pune,0.0,33486
Bangalore,0.0,22149
Chennai,0.0,37782
Dehradun,0.0,12188
Indore,0.0,87066
Pune,0.0,76597
Bangalore,0.0,2944
Chennai,0.0,6517
Dehradun,0.0,2920
Indore,0.0,10499
Pune,0.0,8703
Bangalore,180732.0,45221
Chennai,423876.0,113491
Dehradun,172572.0,34494
Indore,854117.0,214416
Pune,405594.0,90047
Bangalore,346013.0,27462
Chennai,697665.0,69662
Dehradun,410517.0,21874
Indore,1496762.0,242779
Pune,1972468.0,182310
Bangalore,54456.0,3534
Chennai,130261.0,9779
Dehradun,54960.0,5370
Indore,443524.0,53880
Pune,350806.0,21687
Bangalore,0.0,16851
Chennai,0.0,51273
Dehradun,0.0,19647
Indore,0.0,60792
Pune,0.0,32473
Bangalore,0.0,21969
Chennai,0.0,60591
Dehradun,0.0,22929
Indore,0.0,90013
Pune,0.0,76841
Bangalore,0.0,5172
Chennai,0.0,13068
Dehradun,0.0,5672
Indore,0.0,16640
Pune,0.0,13679
Bangalore,132849.0,45623
Chennai,412175.0,133867
Dehradun,161483.0,43425
Indore,767321.0,234674
Pune,325265.0,91316
Bangalore,471145.0,74652
Chennai,2121054.0,119817
Dehradun,539495.0,29877
Indore,2360423.0,238264
Pune,6463389.0,314219
Bangalore,43128.0,5470
Chennai,184704.0,17875
Dehradun,80343.0,12515
Indore,336671.0,47662
Pune,298877.0,26184
Bangalore,0.0,20121
Chennai,0.0,40018
Dehradun,0.0,16022
Indore,0.0,42052
Pune,0.0,36366
Bangalore,0.0,25761
Chennai,0.0,49966
Dehradun,0.0,15784
Indore,0.0,89396
Pune,0.0,81476
Bangalore,0.0,5405
Chennai,0.0,8738
Dehradun,0.0,3427
Indore,0.0,21854
Pune,0.0,9606
Bangalore,198442.0,47708
Chennai,475007.0,129595
Dehradun,217657.0,47192
Indore,984772.0,244884
Pune,454565.0,107901
Bangalore,391792.0,32380
Chennai,901605.0,88685
Dehradun,476460.0,29163
Indore,2283070.0,262122
Pune,1428236.0,235302
Bangalore,72995.0,7306
Chennai,179084.0,14019
Dehradun,71380.0,5619
Indore,770701.0,121239
Pune,391173.0,25160
Bangalore,0.0,23411
Chennai,0.0,71750
Dehradun,0.0,20729
Indore,0.0,74374
Pune,0.0,52202
Bangalore,0.0,32407
Chennai,0.0,96706
Dehradun,0.0,29077
Indore,0.0,117212
Pune,0.0,104913
Bangalore,0.0,4733
Chennai,0.0,11815
Dehradun,0.0,4523
Indore,0.0,14839
Pune,0.0,12018
Bangalore,159066.0,66489
Chennai,522007.0,194965
Dehradun,174434.0,45570
Indore,948299.0,309690
Pune,561379.0,174993
Bangalore,491642.0,102650
Chennai,1830646.0,189479
Dehradun,687801.0,43223
Indore,2632792.0,382520
Pune,8949571.0,400768
Bangalore,55350.0,9726
Chennai,199075.0,25386
Dehradun,86025.0,11519
Indore,456791.0,61982
Pune,543506.0,34236
Bangalore,0.0,25726
Chennai,0.0,58057
Dehradun,0.0,16354
Indore,0.0,52668
Pune,0.0,49208
Bangalore,0.0,38714
Chennai,0.0,82109
Dehradun,0.0,18680
Indore,0.0,104660
Pune,0.0,105280
Bangalore,0.0,5385
Chennai,0.0,7182
Dehradun,0.0,2689
Indore,0.0,7493
Pune,0.0,8990
Bangalore,228195.0,65537
Chennai,630669.0,190164
Dehradun,251024.0,48078
Indore,1312007.0,366356
Pune,687147.0,190522
Bangalore,552642.0,45671
Chennai,1070609.0,139291
Dehradun,679299.0,31769
Indore,2196622.0,353670
Pune,2144092.0,314629
Bangalore,97754.0,11445
Chennai,210465.0,19460
Dehradun,74475.0,5831
Indore,518051.0,59148
Pune,436096.0,32233
Bangalore,0.0,24066
Chennai,0.0,77190
Dehradun,0.0,17709
Indore,0.0,80935
Pune,0.0,50962
Bangalore,0.0,33717
Chennai,0.0,105566
Dehradun,0.0,25847
Indore,0.0,133184
Pune,0.0,104638
Bangalore,0.0,3103
Chennai,0.0,9318
Dehradun,0.0,2918
Indore,0.0,18153
Pune,0.0,8361
Bangalore,171454.0,71931
Chennai,531875.0,207912
Dehradun,160083.0,40645
Indore,1053001.0,340378
Pune,561772.0,184343
Bangalore,497571.0,104154
Chennai,1991280.0,207042
Dehradun,669147.0,34926
Indore,2341270.0,447909
Pune,11274131.0,389191
Bangalore,48594.0,5454
Chennai,182128.0,22016
Dehradun,79674.0,12734
Indore,304033.0,112700
Pune,263951.0,30074
Bangalore,0.0,24240
Chennai,0.0,65807
Dehradun,0.0,14134
Indore,0.0,61307
Pune,0.0,38788
Bangalore,0.0,38364
Chennai,0.0,100678
Dehradun,0.0,17779
Indore,0.0,126231
Pune,0.0,101038
Bangalore,0.0,2305
Chennai,0.0,5189
Dehradun,0.0,1792
Indore,0.0,6268
Pune,0.0,6850
Bangalore,224437.0,64052
Chennai,621840.0,202993
Dehradun,230198.0,41654
Indore,1461928.0,386818
Pune,613118.0,170762
Bangalore,540049.0,50290
Chennai,1049141.0,160255
Dehradun,594808.0,26898
Indore,2142323.0,346684
Pune,1893719.0,310268
Bangalore,86104.0,4794
Chennai,171044.0,15495
Dehradun,59829.0,4520
Indore,438587.0,53727
Pune,384299.0,40036
Bangalore,0.0,15140
Chennai,0.0,37077
Dehradun,0.0,11842
Indore,0.0,64277
Pune,0.0,40685
Bangalore,0.0,22355
Chennai,0.0,54856
Dehradun,0.0,22823
Indore,0.0,108310
Pune,0.0,95503
Bangalore,0.0,2460
Chennai,0.0,5979
Dehradun,0.0,2997
Indore,0.0,17210
Pune,0.0,7621
Bangalore,143539.0,45028
Chennai,384403.0,103842
Dehradun,122745.0,24519
Indore,1004540.0,283243
Pune,496736.0,154269
Bangalore,464272.0,69649
Chennai,1750231.0,82974
Dehradun,651206.0,28556
Indore,2238251.0,286894
Pune,4288560.0,394416
Bangalore,50504.0,3865
Chennai,155812.0,15616
Dehradun,83012.0,21619
Indore,305773.0,102189
Pune,222360.0,27499
Bangalore,0.0,12015
Chennai,0.0,21697
Dehradun,0.0,9219
Indore,0.0,42353
Pune,0.0,29718
Bangalore,0.0,24101
Chennai,0.0,37905
Dehradun,0.0,15214
Indore,0.0,82719
Pune,0.0,90794
Bangalore,0.0,1808
Chennai,0.0,3949
Dehradun,0.0,1939
Indore,0.0,5191
Pune,0.0,6541
Bangalore,175823.0,31567
Chennai,449565.0,90980
Dehradun,182839.0,24698
Indore,1427942.0,330533
Pune,524948.0,125958
Bangalore,605554.0,41530
Chennai,1212610.0,96302
Dehradun,558487.0,22786
Indore,2218013.0,292531
Pune,1963722.0,280352
Bangalore,82662.0,4017
Chennai,181002.0,14141
Dehradun,59488.0,4465
Indore,478912.0,47993
Pune,372706.0,38330
Bangalore,0.0,13131
Chennai,0.0,32233
Dehradun,0.0,11305
Indore,0.0,55910
Pune,0.0,29133
Bangalore,0.0,18532
Chennai,0.0,47529
Dehradun,0.0,21734
Indore,0.0,103201
Pune,0.0,89503
Bangalore,0.0,1952
Chennai,0.0,5479
Dehradun,0.0,2968
Indore,0.0,16194
Pune,0.0,9595
Bangalore,125767.0,34466
Chennai,350830.0,88938
Dehradun,110667.0,22316
Indore,901512.0,236934
Pune,367060.0,90416
Bangalore,479113.0,45346
Chennai,1171945.0,78446
Dehradun,697264.0,25943
Indore,3924887.0,373204
Pune,4504393.0,326532
Bangalore,60996.0,3342
Chennai,135714.0,14687
Dehradun,79466.0,10823
Indore,325296.0,114246
Pune,414616.0,31054
